Episode,AvgReward
1,0.919947598245988
2,0.9134303781045682
3,0.930019918308346
4,0.9043220612657504
5,0.9203090680610542
6,0.919524292584904
7,0.885286909785871
8,0.9154718008375077
9,0.9083131363510886
10,0.9044543144357903
11,0.9060043159582142
12,0.9167795306059494
13,0.918744226883518
14,0.9167066852906066
15,0.9092596208031397
16,0.892353725191693
17,0.9271558848503941
18,0.8923335567422632
19,0.9083861318512079
20,0.8945252564697005
21,0.9382642232036141
22,0.8950810990038371
23,0.9390962648842128
24,0.9146977164831221
25,0.9335721911554544
26,0.9023357630059399
27,0.8904949064571578
28,0.887870706884493
29,0.9080811987756484
30,0.9367086789587424
31,0.8924832376279513
32,0.8923376752716802
33,0.8950174704475037
34,0.9294788958940509
35,0.9500856002341248
36,0.9077886502470618
37,0.9074100036428293
38,0.9137242017898514
39,0.8890664502109006
40,0.8761390924689981
41,0.911793160845019
42,0.9460368849106497
43,0.9023317034218473
44,0.8935523720163909
45,0.8877144259192158
46,0.8954610516827446
47,0.9455858956159736
48,0.911284695587463
49,0.8920932871193893
50,0.9022718723526132
51,0.9038818151373719
52,0.878837735592517
53,0.895730013834372
54,0.9130258090984843
55,0.9172818395187375
56,0.9500536040970602
57,0.8950014055940773
58,0.8895040025207244
59,0.8929308223067135
60,0.9026792082199695
61,0.8955976205480614
62,0.8860860451099569
63,0.8884922460101166
64,0.8749516473038331
65,0.8842483020853978
66,0.9006088363601997
67,0.9010420964389148
68,0.892974706470613
69,0.907611877539281
70,0.8912119416037327
71,0.9170749944748913
72,0.9155537873974751
73,0.8948860427514318
74,0.8888126150996659
75,0.8924219918051381
76,0.8889541738699414
77,0.8939182523238776
78,0.9044311744366231
79,0.8950147316604538
80,0.8929158518295092
81,0.8862977784471561
82,0.8830345740599622
83,0.8821402269044223
84,0.8956189284202897
85,0.9004903502214934
86,0.8872192367767748
87,0.8830714218672066
88,0.9104341898805266
89,0.8880590555975844
90,0.8872032950267189
91,0.8835398729295826
92,0.8835426708902065
93,0.8886017321224597
94,0.8790422310646866
95,0.8787871293628452
96,0.8915337120051443
97,0.8853202653766261
98,0.8885836108060144
99,0.884786075882408
100,0.8816976668537984
101,0.8867098647922247
102,0.9126671435405481
103,0.8998501372638118
104,0.9514735866730719
105,0.9206376392535586
106,0.9074944185929312
107,0.9221075694828798
108,0.9094255821863696
109,0.9126415452331146
110,0.9299043663996878
111,0.9226325003086356
112,0.9152601913740154
113,0.9358110440332394
114,0.8866414271337029
115,0.9031293734014586
116,0.9334832710143365
117,0.9068782912505211
118,0.9279976869423542
119,0.9003289268244776
120,0.9375131210613121
121,0.9223012787476993
122,0.9123713098956738
123,0.8850544167038891
124,0.9474571436125677
125,0.9165501550508252
126,0.8991529576778535
127,0.9090373120410777
128,0.9216584843046091
129,0.9109924075238293
130,0.8935680611129744
131,0.8882949618069379
132,0.8971249478027742
133,0.9051555686534585
134,0.9174255931304717
135,0.9076922345400675
136,0.9510484764091227
137,0.8983078585441042
138,0.9115286318569917
139,0.9017267060836649
140,0.9327351274780671
141,0.8953504560230421
142,0.9186706832189735
143,0.9078043677555347
144,0.9331452400000854
145,0.9151207167507395
146,0.905163483017153
147,0.9553938865570687
148,0.906568947579476
149,0.9386675898573449
150,0.9573736170780578
151,0.9404510233892043
152,0.9000572299779576
153,0.9253634536056431
154,0.9095107458039625
155,0.8907156367453716
156,0.9057319168417275
157,0.9162718946029244
158,0.9317101960523695
159,0.9422937594000729
160,0.8796023774897289
161,0.8970693852365513
162,0.9513084973779696
163,0.907969324649013
164,0.9118815346138441
165,0.895817749016742
166,0.92204905337581
167,0.9061017438253018
168,0.8921893745111467
169,0.8947084704625894
170,0.9386101186617996
171,0.9469943640692834
172,0.903436157352167
173,0.9278410046649432
174,0.9227405323685304
175,0.9403980231864648
176,0.9109398457282092
177,0.903587390369293
178,0.950684617040018
179,0.9334901388731222
180,0.9549999130476369
181,0.9234979638042844
182,0.9274288813444962
183,0.9036219437805725
184,0.9147948451203918
185,0.9297596228510713
186,0.9642755437491699
187,0.9311666228140635
188,0.9133096568882836
189,0.8970459901406888
190,0.9156506208969655
191,0.9125276591657328
192,0.8990623591116469
193,0.9075912938833333
194,0.9222778065732251
195,0.9246835655975425
196,0.9184111878488092
197,0.9165619267856896
198,0.9125789875703142
199,0.9526849710315997
200,0.9165253096250727
201,0.9147692794361705
202,0.9708494569557669
203,0.9262169755168109
204,0.9269064565082227
205,0.9475872929198055
206,0.9243389523302584
207,0.8966434118952006
208,0.9405887337165202
209,0.8940704018400069
210,0.9030443643022374
211,0.8904825492398325
212,0.9254455185836509
213,0.9499802271006664
214,0.9153717747279145
215,0.932721252818768
216,0.9347382614732727
217,0.9351804278471737
218,0.916533459313538
219,0.9107816736749896
220,0.9019319331654146
221,0.9104851186716014
222,0.9135232327343816
223,0.9368336677491303
224,0.9097663545110264
225,0.924356979132991
226,0.901296915420349
227,0.9072926865346862
228,0.9097399254552194
229,0.9535848558585294
230,0.9024478350692017
231,0.94471164601384
232,0.9004327328681723
233,0.9226084820915746
234,0.910199838952103
235,0.94564293376901
236,0.960398558698655
237,0.9134456939194726
238,0.8973267623247356
239,0.8989239812750739
240,0.9671372454608892
241,0.9230675213739472
242,0.935846661819652
243,0.9427278188476198
244,0.897573325451003
245,0.8948224856106842
246,0.9146792750866991
247,0.90825100204965
248,0.9261798364624374
249,0.9445172724982108
250,0.892614560052745
251,0.9633077618626745
252,0.9420919188614608
253,0.930205305234935
254,0.9084150541431486
255,0.9251031856257317
256,0.9308473523087099
257,0.9192691233471753
258,0.9061957497951788
259,0.8800898215564879
260,0.8999573626472415
261,0.9377055219142042
262,0.9386711161415726
263,0.9247047951609602
264,0.9468953164809109
265,0.9425954997173156
266,0.9398862088848982
267,0.9114656690652042
268,0.8922458423870533
269,0.9278467068717208
270,0.9337595157617173
271,0.9389231225606031
272,0.9613119845103739
273,0.9152634832277678
274,0.9106069520281233
275,0.9322033141217306
276,0.918907122630729
277,0.9062285113167858
278,0.9225571913997542
279,0.9390840182038191
280,0.9391835346366069
281,0.9003776666015243
282,0.9275756802372432
283,0.905411726595732
284,0.9399558236611905
285,0.8895521887423993
286,0.9019486680339023
287,0.950958590506126
288,0.8986869916082729
289,0.912288365195811
290,0.9122501294365581
291,0.9251651378645627
292,0.9255173083282213
293,0.9392273172388925
294,0.9473106066165363
295,0.8844776283829908
296,0.9155223730316983
297,0.9603140832334052
298,0.8973169735150839
299,0.9736098746868389
300,0.9118921979757304
301,0.9394622970533264
302,0.8973141007668222
303,0.9375765048593171
304,0.9364957357228696
305,0.883065993292139
306,0.9361951257174195
307,0.9373910483542068
308,0.8866680266451314
309,0.9086792613786511
310,0.9404232840776929
311,0.924573235461079
312,0.891709603735757
313,0.9311252253131761
314,0.9299103431661012
315,0.9282792128521964
316,0.9511094766793341
317,0.9035657543928196
318,0.9162476614134932
319,0.9008746132316221
320,0.9074491090067451
321,0.9129320347889455
322,0.9096625379967279
323,0.8905094074817942
324,0.9102783126763946
325,0.898614676312911
326,0.9047156567069018
327,0.9130698474229902
328,0.9169842170411768
329,0.9591963229962782
330,0.9345066079323607
331,0.9003176113677349
332,0.9325340633254185
333,0.9262495784994265
334,0.9007880975613376
335,0.9159886190397586
336,0.8970993648300586
337,0.9089515621115608
338,0.9016544007319766
339,0.9564704197761451
340,0.9239381369975082
341,0.9126202056839833
342,0.901150754998801
343,0.9410071864603026
344,0.9154457946820653
345,0.935995817464773
346,0.9058437862925783
347,0.90104217459883
348,0.911741132388249
349,0.9135883276279586
350,0.9069753584669619
351,0.9209673672113702
352,0.9079220941284415
353,0.9086397692062983
354,0.9467897781173887
355,0.910272469065572
356,0.9420312119810456
357,0.9223988085130624
358,0.9356631529213001
359,0.9042157696094066
360,0.9067945349091117
361,0.9208987051555888
362,0.8857761853405659
363,0.9438856573589242
364,0.9282844247627171
365,0.9106378056772005
366,0.9783417373897448
367,0.903345859775318
368,0.916938595127565
369,0.9451227553007815
370,0.9058512009129656
371,0.9274931789723733
372,0.900673045381491
373,0.9018433490993099
374,0.9669397903182723
375,0.9218573387721941
376,0.8996103746995218
377,0.926737551812321
378,0.9492317751863737
379,0.896259549722916
380,0.9724701722168784
381,0.9043765773960031
382,0.9275888827083372
383,0.9082157441385037
384,0.907981530493958
385,0.9022843820669011
386,0.9045075783279667
387,0.8800852785556625
388,0.9074110641735293
389,0.9339052766151081
390,0.9334903314986155
391,0.948493795197096
392,0.9537561071409127
393,0.9251174247673865
394,0.8920836093448002
395,0.9148560858533598
396,0.9681164733710153
397,0.8986573688250751
398,0.9533364131693645
399,0.9096741813793847
400,0.9172569866394855
401,0.9297546888161068
402,0.9505736116641311
403,0.8984546128055759
404,0.90843173020063
405,0.9164966424242753
406,0.8904442195131876
407,0.9281545506087318
408,0.9507644670839964
409,0.9241177685637441
410,0.8972715862587161
411,0.9381873906436576
412,0.8985870384189124
413,0.912973663362823
414,0.8859787433683968
415,0.9071402931138357
416,0.9497582069667878
417,0.9061993528603305
418,0.9719193149834832
419,0.9251966903940121
420,0.9212037986426563
421,0.8956047938247584
422,0.898236641422397
423,0.8857221727138572
424,0.8943339170509258
425,0.9527946055257938
426,0.9490717574156732
427,0.9004069672205306
428,0.9039339887476922
429,0.8889659441956484
430,0.9119931723913616
431,0.8926619122353981
432,0.9134619134798889
433,0.9059240999391388
434,0.8973133436912178
435,0.9548099198973836
436,0.960692038550091
437,0.9052980532074568
438,0.896018248198868
439,0.9655764111148873
440,0.9314972185648583
441,0.935121551181543
442,0.9040239215806308
443,0.9197914976557608
444,0.9388894538737754
445,0.9056083454816023
446,0.9101321588018187
447,0.90992749965566
448,0.9090020719024189
449,0.9015937419046917
450,0.9114084415156092
451,0.9637591651795587
452,0.8912276618319339
453,0.9739973225340097
454,0.9343769148646931
455,0.9288571351038807
456,0.9146333476321844
457,0.883444728233571
458,0.9235773860553976
459,0.9246586939196896
460,0.9650706918434047
461,0.8963237991688208
462,0.9602053343348481
463,0.9047576545926621
464,0.957905412783915
465,0.9070503148494083
466,0.9588194593890771
467,0.917781372893523
468,0.9416487561009077
469,0.9142336637214994
470,0.9112818483704996
471,0.919743801914172
472,0.9227793552200181
473,0.8990864762124232
474,0.9590215533464117
475,0.9017863961652051
476,0.9219546435170646
477,0.9269223568824254
478,0.9258000952392883
479,0.9234912098563482
480,0.9600406680352332
481,0.9062771999914019
482,0.9213770498906163
483,0.9148495655462016
484,0.9124726504589121
485,0.9257745584225343
